n0 (1/cm^2),t (s),noisy cell (mol/m^3)
250000000,7200,32934208836927.58
250000000,14400,55847323157504.04
250000000,21600,82345438381261.48
250000000,28800,107461083389086.34
250000000,36000,125406768311912.56
250000000,43200,133513095711080.78
250000000,50400,141413939968331.78
250000000,57600,143126517031919.16
250000000,64800,120623311405833.36
250000000,72000,133157477807275.69
250000000,79200,112887317416777.16
250000000,86400,106413629022075.44
250000000,93600,86470385055376.62
250000000,100800,87240080134767.23
250000000,108000,89224129886449.42
250000000,115200,75511994034459.78
250000000,122400,58965576355719.49
250000000,129600,59203349328601.83
250000000,136800,52962969044629.58
250000000,144000,48361505808697.336
250000000,151200,45262958098266.93
250000000,158400,41576772585486.8
250000000,165600,34167727970433.38
250000000,172800,32226029491327.496
250000000,187200,24830515559963.56
250000000,201600,20539419468883.8
250000000,216000,15827344370799.803
250000000,230400,13100905275447.129
250000000,244800,10862310163425.375
250000000,259200,8399541813723.6455
250000000,273600,6772444996725.357
250000000,288000,5800954843141.79
250000000,302400,4543036110007.081
250000000,316800,3580724422463.5527
250000000,331200,3074448530171.7183
250000000,345600,2465884135620.9194
500000000,7200,60643064455748.74
500000000,14400,100421834681825.6
500000000,21600,117168555128912.69
500000000,28800,125963049643753.19
500000000,36000,148238830591459.78
500000000,43200,140781686628310.03
500000000,50400,142942309864629.6
500000000,57600,136887598734009.53
500000000,64800,130259000648678.39
500000000,72000,114425293758607.03
500000000,79200,108902259931588.9
500000000,86400,97501305254897.64
500000000,93600,88333348743300.84
500000000,100800,73610473917662.75
500000000,108000,77980196320358.69
500000000,115200,72264391203402.11
500000000,122400,63620413682725.07
500000000,129600,52307583748647.23
500000000,136800,47524957317483.93
500000000,144000,41928670359552.74
500000000,151200,38934700375738.26
500000000,158400,34261386095334.137
500000000,165600,31455754957658.47
500000000,172800,26269853169986.113
500000000,187200,21446800484289.35
500000000,201600,20289938516426.746
500000000,216000,14051155786765.398
500000000,230400,12793069935605.924
500000000,244800,10004523652792.564
500000000,259200,7882346825667.203
500000000,273600,6377677004296.055
500000000,288000,5116370413089.013
500000000,302400,3724762194689.5684
500000000,316800,3082323031170.928
500000000,331200,2677151318724.6655
500000000,345600,2089388765983.0898
1000000000,7200,112990367232219.05
1000000000,14400,147285195878462.44
1000000000,21600,155544042880995.8
1000000000,28800,164796946097254.28
1000000000,36000,156238709621304.78
1000000000,43200,158732607348202.62
1000000000,50400,137766597534317.7
1000000000,57600,139973317741699.5
1000000000,64800,126540412445360.56
1000000000,72000,110516396313532.2
1000000000,79200,106751927085665.53
1000000000,86400,103234171700278.39
1000000000,93600,85339313883287.58
1000000000,100800,75398702691428.39
1000000000,108000,69500569846276.84
1000000000,115200,65405486597484.81
1000000000,122400,56098988110266.41
1000000000,129600,49047800827365.805
1000000000,136800,41001932026745.21
1000000000,144000,40460648587320.06
1000000000,151200,38209990755788.836
1000000000,158400,35410689647115.15
1000000000,165600,30790820535078.0
1000000000,172800,26423079119288.227
1000000000,187200,19950252072368.543
1000000000,201600,15867960654464.844
1000000000,216000,13634178893265.002
1000000000,230400,11272115981062.771
1000000000,244800,8052206870359.339
1000000000,259200,6913050889170.802
1000000000,273600,5836702476421.241
1000000000,288000,4225466703857.4746
1000000000,302400,3673663318999.57
1000000000,316800,3060883505290.5083
1000000000,331200,2415554274266.0186
1000000000,345600,1844243409751.8516
2000000000,7200,178669145334635.6
2000000000,14400,176927198906228.53
2000000000,21600,210901565797835.75
2000000000,28800,196605966792833.16
2000000000,36000,175564747704462.75
2000000000,43200,171921613409421.75
2000000000,50400,146271818704092.75
2000000000,57600,132463048618281.92
2000000000,64800,127018576926086.1
2000000000,72000,124558445685788.69
2000000000,79200,107612100070014.12
2000000000,86400,83599480520946.8
2000000000,93600,85341597161166.27
2000000000,100800,78494188326475.33
2000000000,108000,69079668492310.71
2000000000,115200,59611568674727.31
2000000000,122400,57813852597579.67
2000000000,129600,51957618152915.805
2000000000,136800,38387646497634.3
2000000000,144000,44269928082268.38
2000000000,151200,33921175326365.527
2000000000,158400,31915168378815.996
2000000000,165600,30514959955386.473
2000000000,172800,28168048430232.332
2000000000,187200,20825036486758.777
2000000000,201600,16450982719437.412
2000000000,216000,12726437918358.824
2000000000,230400,10624522008966.7
2000000000,244800,8665122188668.403
2000000000,259200,6976127785488.487
2000000000,273600,5884258523763.115
2000000000,288000,4231834293737.221
2000000000,302400,3654707493723.129
2000000000,316800,2972374313534.226
2000000000,331200,2550415627183.017
2000000000,345600,2053924427554.156
4000000000,7200,256967488140495.84
4000000000,14400,289238491414086.4
4000000000,21600,244523852897260.1
4000000000,28800,248533165977338.84
4000000000,36000,211254083978022.1
4000000000,43200,179299884360411.25
4000000000,50400,184409834219647.34
4000000000,57600,165545397595478.28
4000000000,64800,139731326462278.27
4000000000,72000,125305640874972.14
4000000000,79200,118845957768213.45
4000000000,86400,104632990458369.33
4000000000,93600,90989445317988.44
4000000000,100800,79548257980589.94
4000000000,108000,76327882884231.19
4000000000,115200,71787860444603.19
4000000000,122400,63504382335541.18
4000000000,129600,53988705517126.59
4000000000,136800,50292102429691.52
4000000000,144000,41903135665330.61
4000000000,151200,38773716908084.66
4000000000,158400,36174195083746.4
4000000000,165600,32313563110647.977
4000000000,172800,30261329728653.54
4000000000,187200,22997801353274.023
4000000000,201600,17975439847814.67
4000000000,216000,13869002489907.36
4000000000,230400,12040149348070.902
4000000000,244800,9510942156566.383
4000000000,259200,8484987927513.995
4000000000,273600,6898607778793.84
4000000000,288000,5088685525602.492
4000000000,302400,3491141708826.3975
4000000000,316800,3161316150157.928
4000000000,331200,2551988116034.1245
4000000000,345600,2069452801222.2388
